index,texte_extrait,note,categorie_auto,verdict,categorie_correcte,commentaire
0,"J'ai loue un appartement et me suis retrouvee avec un studio...",1,Annulation / Réservation,ok,,
1,"Comment un site comme abritel ne gere pas les locations...",1,Annulation / Réservation,ok,,
2,"Annonces frauduleuses. Le bien n'existe pas...",1,Annulation / Réservation,ok,,
3,"proprietaires oublient MAJ reservations donc annule",2,Annulation / Réservation,ok,,
4,"conjoint reserve logement et annulation par proprietaire",1,Annulation / Réservation,ok,,
5,"conciergerie problemes avec plateforme Abritel",1,Annulation / Réservation,ok,,
6,"Reservation acceptee alors que dates indisponibles",1,Annulation / Réservation,ok,,
7,"Reservation annulee sans motif",1,Annulation / Réservation,ok,,
8,"cherche a annuler reservation via smartphone",1,Annulation / Réservation,ok,,
9,"Ils facturent sans prevenir",1,Annulation / Réservation,err,Financier,theme principal est la facturation pas l'annulation
10,"Tres mauvais site de reservation",1,Annulation / Réservation,ok,,
11,"Arnaque plateforme mal geree",1,Annulation / Réservation,ok,,
12,"reserve mobil-home 3 fois annule apres paiement",1,Annulation / Réservation,ok,,
13,"reservation annulee frais eleves",1,Annulation / Réservation,ok,,
14,"super",5,Autre,ok,,avis positif court
15,"recherches faciles confiance choix precis",5,Autre,ok,,avis positif court
16,"fonctionne globalement tres bien",5,Autre,ok,,avis positif court
17,"1ere fois que j'utilise ce site",4,Autre,ok,,neutre sans theme
18,"super",5,Autre,ok,,avis positif court
19,"facile d'utilisation",5,Autre,ok,,avis positif court
20,"je suis desabuse",1,Autre,ok,,trop vague pour categoriser
21,"Application simple",5,Autre,ok,,avis positif court
22,"Bien presente pour voyager avec chien",5,Autre,ok,,avis positif court
23,"tres pratique merci",5,Autre,ok,,avis positif court
24,"perfect",5,Autre,ok,,avis positif court
25,"tres bien",5,Autre,ok,,avis positif court
26,"tres bien",5,Autre,ok,,avis positif court
27,"tres bon site pour les vacances simple efficace",5,Autre,ok,,avis positif court
28,"pratique pour communiquer et partager",5,Autre,ok,,avis positif court
29,"site serieux regle problemes rapidement",4,Autre,ok,,borderline Service Client mais trop court
30,"efficace",5,Autre,ok,,avis positif court
31,"j'adore",5,Autre,ok,,avis positif court
32,"que du bien",5,Autre,ok,,avis positif court
33,"beaucoup de resa non actualisees dommage",4,Autre,err,Annulation / Réservation,resa + disponibilite = Annulation/Reservation
34,"appli tres bien faite rien a dire",5,Autre,ok,,avis positif court
35,"excellent pour moi",5,Bug Technique,err,Autre,faux positif — avis positif generique
36,"excellent",5,Bug Technique,err,Autre,faux positif — avis positif generique
37,"impossible de se connecter sur Abritel",1,Bug Technique,ok,,
38,"nulle notifications inutiles",1,Bug Technique,ok,,
39,"Impossible de me connecter en qualite de proprietaire",1,Bug Technique,ok,,
40,"site en bug en permanence impossible contacter hote",2,Bug Technique,ok,,
41,"application ne fonctionne pas",3,Bug Technique,ok,,
42,"appli ne fonctionne pas",2,Bug Technique,ok,,
43,"Filtres non permanents propositions ne correspondent pas",2,Financier,err,UX / Ergonomie,probleme de filtres = UX pas Financier (faux positif via prix dans le texte)
44,"proprietaire aucune reservation Nul",1,Financier,ok,,
45,"caution de 2213 euros a avancer",1,Financier,ok,,
46,"pas recu argent apres location villa",1,Financier,ok,,
47,"reserve et paye mais personne a l'adresse",2,Financier,ok,,
48,"peu de reservations jamais recu paiement",1,Financier,ok,,
49,"annonce mensongere demande remboursement",1,Financier,ok,,
50,"location insalubre et escroquerie",1,Financier,ok,,
51,"aucune protection aucun remboursement",1,Financier,ok,,
52,"annonces incompletes impossible obtenir",1,Financier,ok,,
53,"appartement 1685 euros catastrophique",1,Financier,ok,,
54,"tarifs indiques pas respectes",1,Financier,ok,,
55,"frais ENORMES pour proprietaires",1,Financier,ok,,
56,"pas averti du non paiement",3,Financier,ok,,
57,"incapable de separer versements par annonces",1,Financier,ok,,
58,"attend paiement depuis 15 jours",1,Financier,ok,,
59,"prix en hausse apres demande reservation",1,Financier,ok,,
60,"NZD impossible de changer",1,Localisation / Langue,ok,,
61,"message d'erreur en anglais",1,Localisation / Langue,ok,,
62,"impossible d'avoir application en francais",1,Localisation / Langue,ok,,
63,"je ne trouve pas le francais",1,Localisation / Langue,ok,,
64,"bookabach Nouvelle Zelande pas abritel",1,Localisation / Langue,ok,,
65,"escroqué de 1200 euros",1,Localisation / Langue,err,Financier,theme principal = escroquerie financiere (euros matche Localisation en premier)
66,"anglais et devise Nouvelle Zelande",1,Localisation / Langue,ok,,
67,"paiement en anglais",3,Localisation / Langue,ok,,
68,"impossible app en francais",1,Localisation / Langue,ok,,
69,"communications difficiles en anglais",1,Localisation / Langue,ok,,
70,"decu service Abritel/VRBO",1,Localisation / Langue,ok,,
71,"dollar NZ pas possible euro",1,Localisation / Langue,ok,,
72,"CATASTROPHIQUE poster annonces francais",1,Localisation / Langue,ok,,
73,"redirige vers site Americain Vrbo",2,Localisation / Langue,ok,,
74,"en anglais impossible ouvrir compte",1,Localisation / Langue,ok,,
75,"jamais decus locations correspondaient descriptif",5,Qualité du bien,ok,,
76,"description non conforme realite",2,Qualité du bien,ok,,
77,"manque precision location logement entier mais proprio sur place",4,Qualité du bien,ok,,
78,"large choix locations tous budgets",5,Qualité du bien,ok,,
79,"tres mauvais loueur",1,Qualité du bien,ok,,
80,"location pas disponible plus envie de passer par ce site",1,Qualité du bien,ok,,
81,"hebergement du choix transactions OK",4,Qualité du bien,ok,,
82,"suppression ancienne appli proprietaire plus acces annonce",1,Qualité du bien,ok,,borderline Bug Technique mais annonce matche Qualite
83,"hote hebergeur oblige faire chiffre affaires",1,Qualité du bien,ok,,
84,"logements satisfaisants regions de France",5,Qualité du bien,ok,,
85,"logement agreable hote gentille",4,Qualité du bien,ok,,
86,"attente 24h mail demande expiree",1,Service Client,ok,,
87,"aucune reponse aux questions pas de reservation",1,Service Client,ok,,
88,"repond check-list aucune personnalisation",1,Service Client,ok,,
89,"application et site horrible experience insupportable",1,Service Client,err,UX / Ergonomie,le theme est l'experience utilisateur pas le service client (faux positif via support dans texte)
90,"honteux service clients a fuir",1,Service Client,ok,,
91,"on ne peut joindre personne probleme reservation",1,Service Client,ok,,
92,"chat tourne en rond aucune reponse",1,Service Client,ok,,
93,"hebergement haute qualite hote a l'ecoute",5,Service Client,ok,,avis positif mais hebergement/hote matche aussi
94,"impossible ouvrir lien sans installer appli",2,UX / Ergonomie,ok,,
95,"pas intuitif",1,UX / Ergonomie,ok,,
96,"trop complique vrai labyrinthe",1,UX / Ergonomie,ok,,
97,"agent virtuel comprend rien questions sans reponse",3,UX / Ergonomie,err,Service Client,agent virtuel = Service Client pas UX
98,"site intuitif et efficace",4,UX / Ergonomie,ok,,
